id,titulo,institucion,tema,idioma,tipo,licencia_o_condicion,url,uso_sugerido,incluido_en_zip
1,Lineamientos conceptuales MGA 2023,DNP,Formulación de proyectos,Español,PDF,Documento oficial de descarga pública,https://mgaayuda.dnp.gov.co/Recursos/Documento_conceptual_2023.pdf,Formulación cadena de valor costos indicadores,SI
2,Formulación de proyectos: introducción e identificación 2024,DNP,Identificación y marco lógico,Español,PDF,Documento oficial de descarga pública,https://mgaayuda.dnp.gov.co/Recursos/Formulacion_identificacion.pdf,Problema oportunidad actores objetivos alternativas,SI
3,Guía práctica Somos Emprendimiento Cultural 2023,Ministerio de las Culturas,Emprendimiento cultural,Español,PDF,Documento oficial de descarga pública,https://www.mincultura.gov.co/direcciones/estrategia-desarrollo-y-emprendimiento/Documents/publicaciones/Formacion/01-Cartillas-SOMOS/Guia-Practica_SomosEC_2023_MINCULTURAS.pdf,Modelo cultural propuesta público sostenibilidad,SI
4,Proyectos: Sistematización de experiencias,Ministerio de las Culturas,Sistematización y aprendizaje,Español,PDF,Documento oficial de descarga pública,https://www.mincultura.gov.co/direcciones/estrategia-desarrollo-y-emprendimiento/Documents/publicaciones/Formacion/02-Sistematizacion-de-experiencias/Proyectos-Sistematizacion-de-Experiencias.pdf,Trayectoria aprendizajes evidencia memoria,SI
5,Culture 2030 Indicators,UNESCO,Indicadores culturales e impacto,Inglés,PDF,Consulta de descarga oficial,https://unesdoc.unesco.org/ark:/48223/pf0000371562,Impacto cultura ODS indicadores territoriales,NO
6,Theory of Change,BetterEvaluation y UNICEF,Teoría de cambio e impacto,Inglés,PDF,Recurso gratuito; revisar condiciones de reutilización,https://www.betterevaluation.org/tools-resources/theory-change-0,Resultados rutas causales supuestos evaluación,NO
7,Principles of Accounting Volume 2: Managerial Accounting,OpenStax,Costos presupuestos y decisiones,Inglés,Libro abierto,CC BY-NC-SA,https://openstax.org/details/books/principles-managerial-accounting,Costos margen punto de equilibrio presupuestos,NO
8,Managerial Accounting OpenStax,LibreTexts,Costos presupuestos y sostenibilidad,Inglés,Libro abierto,CC BY-NC-SA,https://biz.libretexts.org/Bookshelves/Accounting/Managerial_Accounting_%28OpenStax%29,Contabilidad gerencial costos y decisiones,NO
9,Start and Improve Your Business SIYB,OIT,Emprendimiento y gestión,Inglés,Programa y manuales,Descarga gratuita; revisar licencia del manual,https://www.ilo.org/start-and-improve-your-business-siyb,Negocio marketing costos planificación,NO
10,Start Your Business manual,OIT,Plan de negocio,Inglés,PDF,Descarga pública; revisar licencia del documento,https://www.ilo.org/sites/default/files/wcmsp5/groups/public/%40americas/%40ro-lima/%40sro_port_of_spain/documents/publication/wcms_224329.pdf,Viabilidad plan comercial y operativo,NO
11,Guía para la construcción y análisis de indicadores de gestión,Función Pública,Indicadores y seguimiento,Español,PDF,Documento oficial de descarga pública,https://www.funcionpublica.gov.co/documents/d/guest/guia-para-la-construccion-y-analisis-de-indicadores-de-gestion-version-4-mayo-2018-pdf?download=true,KPI eficiencia eficacia efectividad,NO
12,GRI Standards,Global Reporting Initiative,Sostenibilidad y reporte,Español e inglés,Estándares,Consulta y descarga gratuita con términos propios,https://www.globalreporting.org/standards/download-the-standards/,Materialidad impactos y reporte,NO
