id,title,institution,year,file,url,topics,license
S1,Have We Learned Anything About Decision Making?,UK Government / Gary Klein,2015,gary_klein_naturalistic_decision_making.pdf,https://assets.publishing.service.gov.uk/media/5a80d02ae5274a2e87dbbf73/Dr_Gary_Klein__Senior_Scientist_at_MacroCognition_LLC.pdf,"Naturalistic decision making, recognition-primed decision making, mental simulation",Publicly downloadable government-hosted presentation; verify reuse conditions before redistribution outside the internal library.
S2,Decision-Making During High-Risk Events: A Systematic Review,Peer-reviewed open-access research (PMC),2023,No incluido como PDF; enlace en catálogo,https://pmc.ncbi.nlm.nih.gov/articles/PMC10564111/,"Recognition-primed, analytical, rule-based and creative decision strategies",Open-access article; consult the article page for its specific license.
S3,Naturalistic Decision-Making in Sport,Peer-reviewed open-access research (PMC),2022,No incluido como PDF; enlace en catálogo,https://pmc.ncbi.nlm.nih.gov/articles/PMC9252097/,"Pattern recognition, diagnosis, mental simulation, expertise",Open-access article; consult the article page for its specific license.
S4,Innovation Teams and Labs: A Practice Guide,Nesta,2014,nesta_innovation_teams_labs.pdf,https://www.nesta.org.uk/documents/640/innovation_teams_and_labs_a_practice_guide.pdf,"Innovation capabilities, teams, methods, resources, partnerships, impact measurement",Nesta content is generally CC BY-NC-SA 4.0 unless otherwise stated.
S5,Compendium of Innovation Methods,Nesta,2019,nesta_compendium_innovation_methods.pdf,https://media.nesta.org.uk/documents/Compendium-of-Innovation-Methods-March-2019.pdf,"Methods for exploration, experimentation, prototyping, scaling and systems change",Nesta content is generally CC BY-NC-SA 4.0 unless otherwise stated.
S6,"Cities, Culture, Creativity",World Bank and UNESCO,2021,world_bank_cities_culture_creativity.pdf,https://documents1.worldbank.org/curated/en/104121621556036559/pdf/Cities-Culture-Creativity-Leveraging-Culture-and-Creativity-for-Sustainable-Urban-Development-and-Inclusive-Growth.pdf,"Creative ecosystems, urban development, enabling conditions, inclusion and cultural value",World Bank Open Knowledge publication; consult document rights statement.
S7,Understanding Cultural and Creative Industries and Designing Approaches for its Development,GIZ / World Bank,2024,world_bank_understanding_cci_2024.pdf,https://thedocs.worldbank.org/en/doc/111a11b5ff7ce45ffbe4b78c7e96ee5d-0460012024/original/Understanding-Cultural-and-Creative-Industries-and-Designing-Approaches-for-its-Development-A-Guide.pdf,"CCI development, ecosystem diagnosis, policy and support approaches, sector cases",Publicly downloadable report; consult rights statement in document.
S8,2025 Annual Report: The Full Six-year Journey of the Accelerator Labs Network,UNDP Accelerator Labs,2026,undp_accelerator_labs_annual_report_2025.pdf,https://www.undp.org/sites/g/files/zskgke326/files/2026-04/2025_undp_accelerator_labs_annual_report_0.pdf,"Distributed R&D, experimentation, grassroots innovation, learning loops, portfolios",UNDP publication; consult document terms for reuse.
S9,Mid-term Evaluation of the UNDP Innovation Facility / Accelerator Labs,UNDP Evaluation,2024,undp_accelerator_labs_evaluation.pdf,https://erc.undp.org/evaluation/documents/download/23915,"Evaluation of innovation capability, institutionalisation, learning, operational constraints",UNDP evaluation publication; consult document terms for reuse.
S10,Supporting Decision Making with Strategic Foresight,OECD Observatory of Public Sector Innovation,2023,No incluido como PDF; enlace en catálogo,https://www.oecd.org/en/publications/supporting-decision-making-with-strategic-foresight_1d78c791-en.html,"Context-specific foresight, assumptions, experimentation, feedback and learning loops",OECD page states CC BY-SA 3.0 IGO for the OPSI presentation page; consult publication terms.
S11,Collective Intelligence for Sustainable Development: 13 Stories,UNDP Accelerator Labs / Nesta,2021,No incluido por restricción técnica del servidor; enlace en catálogo,https://www.undp.org/acceleratorlabs/publications/collective-intelligence-sustainable-development-13-stories-undp-accelerator-labs,"Collective intelligence, participatory sensing, complex systems, distributed problem solving",UNDP publication; consult document terms for reuse.
